,0,1,2,3,4,5,6,7,8,9
loss,1.8835,1.6638,1.3190,1.1564,0.9891,0.8214,0.7581,0.6932,0.6471,0.5989
acc,0.2959,0.4519,0.5168,0.5820,0.6160,0.6404,0.6873,0.6824,0.7092,0.7287
f,0.197,0.317,0.383,0.441,0.472,0.509,0.551,0.568,0.594,0.612
