,0,1,2,3,4,5,6,7,8,9
loss,1.9872,1.7428,1.4182,1.2001,1.092,0.9432,0.8437,0.7836,0.7262,0.6572
acc,0.2959,0.4519,0.5168,0.5820,0.6160,0.6404,0.6873,0.6824,0.7092,0.7287
f,0.247,0.286,0.342,0.412,0.421,0.463,0.482,0.513,0.536,0.552
